Date,Opponent,W/L,Number of Tweets
"Fri, Nov 11, 2016",Colgate,W,1528
"Tue, Nov 15, 2016",Holy Cross,W,1382
"Fri, Nov 18, 2016",Monmouth,W,1541
"Tue, Nov 22, 2016",South Carolina State,W,1546
"Sat, Nov 26, 2016",South Carolina,L,5651
"Tue, Nov 29, 2016",Wisconsinξ(17),L,1469
"Sat, Dec 3, 2016",North Florida,W,1354
"Mon, Dec 5, 2016",Connecticut,L,1495
"Sat, Dec 10, 2016",Boston University,W,1481
"Sat, Dec 17, 2016",Georgetown,L,3385
"Mon, Dec 19, 2016",Eastern Michigan,W,972
"Wed, Dec 21, 2016",St. John's (NY),L,1125
"Tue, Dec 27, 2016",Cornell,W,986
"Sun, Jan 1, 2017",Boston College,L,1906
"Wed, Jan 4, 2017",Miami (FL),W,1221
"Sat, Jan 7, 2017",Pittsburgh,W,2353
"Tue, Jan 10, 2017",Virginia Tech,L,1644
"Sat, Jan 14, 2017",Boston College,W,1721
"Mon, Jan 16, 2017",North Carolinaξ(9),L,1351
"Sat, Jan 21, 2017",Notre Dameξ(15),L,2237
"Tue, Jan 24, 2017",Wake Forest,W,1514
"Sat, Jan 28, 2017",Florida Stateξ(6),W,4076
"Wed, Feb 1, 2017",North Carolina State,W,1762
"Sat, Feb 4, 2017",Virginiaξ(9),W,4154
"Tue, Feb 7, 2017",Clemson,W,1402
"Sat, Feb 11, 2017",Pittsburgh,L,2273
"Mon, Feb 13, 2017",Louisvilleξ(8),L,1987
"Sun, Feb 19, 2017",Georgia Tech,L,1619
"Wed, Feb 22, 2017",Dukeξ(10),W,2274
"Sun, Feb 26, 2017",Louisvilleξ(7),L,2707
"Sat, Mar 4, 2017",Georgia Tech,W,2355
"Wed, Mar 8, 2017",Miami (FL),L,5223
"Wed, Mar 15, 2017",North Carolina-Greensboro,W,662
"Sat, Mar 18, 2017",Mississippi,L,2880
