Date,Opponent,W/L,Number of Tweets
9/2/16,Colgate,W,2503
9/9/16,(13)Louisville,L,2371
9/17/16,South Florida,L,3081
9/24/16,Connecticut,W,2535
10/1/16,Notre Dame,L,7707
10/8/16,Wake Forest,L,1516
10/15/16,(17)Virginia Tech,W,4321
10/22/16,Boston College,W,2926
11/5/16,(3)Clemson,L,3304
11/12/16,North Carolina State,L,2945
11/19/16,(17)Florida State,L,3393
11/26/16,Pitt,L,5652
